State,State Abbreviation,Total Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,White Population,Other Population,% African-American,% Victims Black,Disparity,# Black people killed,# Hispanic people killed,# Native American people killed,# Asian people killed,# Pacific Islanders killed,# White people killed,# Unknown Race people killed,# People Killed,Rate (Black People),Rate (Hispanic People),Rate (Native American People),Rate (Asian People),Rate (Pacific Islanders),Rate (White People),Rate (All People),Disparity in Rate,Black-White Disparity,Hispanic-White Disparity,Native American-White Disparity
Alabama,AL,4864680.0,1285737.0,203146.0,23243.0,63936.0,1521.0,3196730.0,90367.0,0.26430042674954984,0.38405797101449274,0.1197575442649429,53.0,,,1.0,,74.0,10.0,138.0,5.888784853689808,0.0,0.0,2.2343772343772343,0.0,3.3069507188372405,4.052534948709003,1.4531114298140155,1.7807295464506856,0.0,0.0
Alaska,AK,738516.0,22817.0,51186.0,103506.0,45617.0,8544.0,450754.0,56092.0,0.030895742272340748,0.1,0.06910425772765925,4.0,1.0,12.0,,,18.0,5.0,40.0,25.043983496014878,2.7909417195550126,16.56218687115447,0.0,0.0,5.704727127055049,7.73752459565631,3.236691940220011,4.390040564296601,0.4892331670552278,2.9032391036912517
Arizona,AZ,6946685.0,286614.0,2163312.0,271946.0,222477.0,12523.0,3825886.0,163927.0,0.04125910416263297,0.09090909090909091,0.049649986746457944,31.0,115.0,14.0,,,142.0,39.0,341.0,15.451343718630035,7.594175703075391,7.35440124142293,0.0,0.0,5.302226539346517,7.012594599335614,2.203370450089033,2.9141236429581836,1.4322616445602396,1.3870401777154804
Arkansas,AR,2990671.0,458536.0,219052.0,17342.0,43441.0,7877.0,2173849.0,70574.0,0.15332211400050358,0.2980769230769231,0.1447548090764195,31.0,3.0,,1.0,,60.0,9.0,104.0,9.658067040693487,1.9564826094782455,0.0,3.288532558116592,0.0,3.942973302850645,4.967829245391037,1.9441221836788922,2.4494375941401914,0.49619473914869533,0.0
California,CA,39148760.0,2164519.0,15221577.0,138427.0,5525439.0,138911.0,14695836.0,1264051.0,0.05528959282490684,0.15860899067005937,0.10331939784515254,187.0,487.0,7.0,44.0,9.0,337.0,108.0,1179.0,12.341904004670653,4.570579551082557,7.224024214929169,1.137595453630795,9.25566935458161,3.275952259051962,4.30227091301414,2.868695220316566,3.767424867248314,1.3951911351740063,2.2051677325174914
Colorado,CO,5531141.0,216732.0,1184794.0,30131.0,169556.0,7480.0,3778212.0,144236.0,0.03918395860817867,0.09691629955947137,0.0577323409512927,22.0,70.0,5.0,4.0,,103.0,23.0,227.0,14.501121859518406,8.44028582183907,23.706007576440026,3.370146567674228,0.0,3.8945103435926085,5.862908110382908,2.4733667297015396,3.723477556909352,2.16722644882054,6.08703161244443
Connecticut,CT,3581504.0,351817.0,561791.0,5320.0,157406.0,752.0,2418696.0,85722.0,0.09823163676488983,0.19444444444444445,0.09621280767955462,7.0,6.0,,1.0,,19.0,3.0,36.0,2.8423868090512965,1.5257326250204386,0.0,0.9075711399638061,0.0,1.1222103622306046,1.435949015513355,1.9794482800875328,2.5328466967650494,1.3595780937076338,0.0
Delaware,DE,949495.0,204665.0,86315.0,2851.0,36464.0,276.0,595623.0,23301.0,0.21555142470471145,0.45,0.23444857529528856,9.0,,,,,8.0,3.0,20.0,6.282042780711337,0.0,0.0,0.0,0.0,1.9187592535163065,3.0091183809739466,2.0876688735250286,3.2740130212786744,0.0,0.0
District of Columbia,DC,684498.0,315281.0,74776.0,1314.0,26278.0,280.0,248057.0,18512.0,0.4606017840811807,0.8846153846153846,0.4240136005342039,23.0,,,,,1.0,2.0,26.0,10.421542324828602,0.0,0.0,0.0,0.0,0.5759045012119911,5.426291551305796,1.9205643903009113,18.095955671290056,0.0,0.0
Florida,FL,20598139.0,3167011.0,5184720.0,41776.0,548642.0,10770.0,11196857.0,448363.0,0.15375228801009644,0.313543599257885,0.15979131124778856,169.0,76.0,,6.0,,244.0,44.0,539.0,7.623231224285973,2.0940654186036776,0.0,1.5622990167410755,0.0,3.1131185168429734,3.7382017860933945,2.039277615415359,2.448744300302683,0.6726584314969409,0.0
Georgia,GA,10297484.0,3195363.0,968463.0,18416.0,399223.0,5070.0,5476441.0,234508.0,0.31030521630332225,0.37358490566037733,0.06327968935705508,99.0,13.0,,3.0,,113.0,37.0,265.0,4.426056489624854,1.9176188012787865,0.0,1.0735138721251747,0.0,2.9476912364904773,3.6763487913302764,1.2039272497926667,1.501533279616667,0.6505494122111325,0.0
Hawaii,HI,1422029.0,24472.0,147962.0,1877.0,522731.0,132583.0,314536.0,277868.0,0.017209213032926895,0.02702702702702703,0.009817813994100134,1.0,4.0,,2.0,22.0,5.0,3.0,37.0,5.837575304721431,3.86199545443135,0.0,0.5465799535789646,23.704827488117957,2.2709187955773404,3.7170228495440574,1.570497557053621,2.570578620464204,1.7006312431570267,0.0
Idaho,ID,1687809.0,10739.0,209073.0,18775.0,22809.0,2348.0,1387654.0,36411.0,0.006362686773207158,0.020833333333333332,0.014470646560126175,1.0,6.0,2.0,,,36.0,3.0,48.0,13.302648557327766,4.099730032777342,15.217804831653035,0.0,0.0,3.706152357040835,4.062748129167967,3.2742981190054943,3.5893420657830757,1.1061957625645906,4.106092617251073
Illinois,IL,12821497.0,1796057.0,2174842.0,15037.0,685343.0,3088.0,7894286.0,252844.0,0.1400816924887944,0.5303867403314917,0.39030504784269726,96.0,21.0,,1.0,,49.0,14.0,181.0,7.63577420665698,1.379410550283653,0.0,0.20844619826443528,0.0,0.8867173041361817,2.016702328686179,3.786267362338723,8.611283631253327,1.5556373421937908,0.0
Indiana,IN,6637426.0,610343.0,450267.0,12125.0,143883.0,2133.0,5275162.0,143513.0,0.09195477282910575,0.3225806451612903,0.23062587233218457,40.0,6.0,,,,72.0,6.0,124.0,9.362417057762135,1.9036324161949625,0.0,0.0,0.0,1.949838561491436,2.668848694401371,3.508035909792236,4.801637039427921,0.9763025789883187,0.0
Iowa,IA,3132499.0,107471.0,183296.0,9067.0,74640.0,2863.0,2695888.0,59274.0,0.03430839084066747,0.13333333333333333,0.09902494249266586,6.0,2.0,,,,33.0,4.0,45.0,7.97557347696455,1.558758978451716,0.0,0.0,0.0,1.7486949436644676,2.0522181901962075,3.8863184797139065,4.560871812353607,0.8913841628576266,0.0
Kansas,KS,2908776.0,163713.0,340616.0,19504.0,82887.0,1827.0,2214543.0,85686.0,0.056282436323732046,0.1506849315068493,0.09440249518311726,11.0,8.0,,,,49.0,5.0,73.0,9.598679221739088,3.3552655860474636,0.0,0.0,0.0,3.160923043716018,3.5852095275027813,2.6772993734692236,3.03666969710682,1.0614828452460439,0.0
Kentucky,KY,4440204.0,349407.0,158744.0,8498.0,62432.0,2339.0,3764082.0,94702.0,0.07869165470775667,0.15833333333333333,0.07964167862557665,19.0,3.0,0.0,1.0,,86.0,11.0,120.0,7.7682636990263925,2.699764580528578,0.0,2.288203851504723,0.0,3.263933752164349,3.860826471679487,2.012072740385854,2.380031057271054,0.8271505445655372,0.0
Louisiana,LA,4663616.0,1492230.0,234920.0,24014.0,79137.0,1154.0,2744265.0,87896.0,0.31997274218117444,0.5472972972972973,0.22732455511612282,81.0,5.0,,4.0,,50.0,8.0,148.0,7.754453784891453,3.040548758239887,0.0,7.220750994207153,0.0,2.602830682480425,4.533575908234543,1.7104497513335293,2.97923865623932,1.1681700153243657,0.0
Maine,ME,1332813.0,16990.0,21421.0,7722.0,14814.0,258.0,1244525.0,27083.0,0.012747474702002456,0.03225806451612903,0.019510589814126574,1.0,1.0,,,,27.0,2.0,31.0,8.408307407718826,6.669023054812701,0.0,0.0,0.0,3.0992891722889113,3.3227252649632235,2.5305454821621827,2.712979312449589,2.151791163742053,0.0
Maryland,MD,6003435.0,1759438.0,588912.0,10949.0,371981.0,2265.0,3084868.0,185022.0,0.29307188301364134,0.625,0.33192811698635866,80.0,6.0,,,,33.0,9.0,128.0,6.495580650509668,1.455468486196337,0.0,0.0,0.0,1.5281968999275544,3.045875284018947,2.1325826059230275,4.250486734279854,0.9524090032281408,0.0
Massachusetts,MA,6830193.0,463796.0,789127.0,8890.0,440336.0,1698.0,4930412.0,195934.0,0.06790379129843037,0.2727272727272727,0.20482348142884232,15.0,10.0,,1.0,,25.0,4.0,55.0,4.620257921278197,1.8103187808444379,0.0,0.32442757997788707,0.0,0.7243671667658954,1.1503544419817797,4.016377694268404,6.3783370274862214,2.49917288345222,0.0
Michigan,MI,9957488.0,1360345.0,497897.0,45772.0,303059.0,2464.0,7489371.0,258580.0,0.1366152788735472,0.3360655737704918,0.19945029489694457,41.0,4.0,,2.0,1.0,58.0,16.0,122.0,4.305630451938926,1.1476843030357113,0.0,0.9427678627405415,57.97773654916513,1.106329795347872,1.7502980097562186,2.4599413516665165,3.891814601797896,1.0373799095547598,0.0
Minnesota,MN,5527358.0,336505.0,292764.0,53168.0,260797.0,1799.0,4438071.0,144254.0,0.060879899583128144,0.21428571428571427,0.15340581470258613,18.0,4.0,5.0,7.0,,50.0,,84.0,7.641576117527442,1.9518402926198968,13.434504105584455,3.8343999355820815,0.0,1.6094508498978821,2.171019137895537,3.5198105738186873,4.747940030608758,1.2127368119031028,8.347259629852543
