City,PD,Black Men Killed by Police (1/1/2013-12/31/2019),Black Male Population (2015 ACS) (Source: https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B01001B&prodType=table),"Average Police Homicide Rate for Black Men (per 100,000) (2013-19)"
Reno,Reno Police Department,3.0,3556.0,12.052064920456372
Oklahoma City,Oklahoma City Police Department,25.0,42192.0,8.464705563681672
Santa Ana,Santa Ana Police Department,1.0,1779.0,8.030193527664016
Anaheim,Anaheim Police Department,2.0,4021.0,7.105552989661421
St. Louis,St. Louis Metropolitan Police Department,34.0,69439.0,6.994834109279881
Scottsdale,Scottsdale Police Department,1.0,2178.0,6.559097468188377
Hialeah,Hialeah Police Department,1.0,2715.0,5.261773217574323
Madison,Madison Police Department,3.0,8339.0,5.139362376441163
National Murder Rate (FBI UCR 2018: https://ucr.fbi.gov/crime-in-the-u.s/2018/crime-in-the-u.s.-2018/topic-pages/murder ),National Murder Rate (FBI UCR 2018),,,5.0
Las Vegas,Las Vegas Metropolitan Police Department,12.0,34344.0,4.99151442547669
Spokane,Spokane Police Department,1.0,2932.0,4.872344572208147
Riverside,Riverside Police Department,3.0,9145.0,4.68640162461923
Albuquerque,Albuquerque Police Department,3.0,9944.0,4.309849442592805
Lincoln,Lincoln Police Department,2.0,6770.0,4.22029964127453
Glendale,Glendale Police Department,2.0,6845.0,4.1740582281122816
Fremont,Fremont Police Department,1.0,3494.0,4.088641753209584
Orlando,Orlando Police Department,9.0,32609.0,3.942820343200606
Kansas City Missouri,Kansas City Police Department,17.0,62560.0,3.8819875776397517
Fort Wayne,Fort Wayne Police Department,5.0,18668.0,3.826257308151459
Phoenix,Phoenix Police Department,13.0,52194.0,3.5581539202645076
Stockton,Stockton Police Department,4.0,16219.0,3.5232047070014882
Long Beach,Long Beach Police Department,7.0,28435.0,3.516792685071215
Columbus,Columbus Division of Police,26.0,106487.0,3.4880179874404518
St. Paul,St. Paul Police Department,5.0,22298.0,3.203362249016568
Omaha,Omaha Police Department,6.0,26951.0,3.1803749662085163
San Antonio,San Antonio Police Department,8.0,48934.0,2.335507301379701
Los Angeles,Los Angeles Police Department,26.0,165839.0,2.239693747722619
Irving,Irving Police Department,2.0,13197.0,2.164994208640492
El Paso,El Paso Police Department,2.0,13912.0,2.0537254579807773
Chicago,Chicago Police Department,54.0,384976.0,2.0038354895592754
Tucson,Tucson Police Department,2.0,14785.0,1.9324605053384223
Seattle,Seattle Police Department,3.0,25403.0,1.6870898262859841
Data from 1/1/13 - 12/31/19,,,,
